,text,labels,scores,better label(s) - Justin,Other - Justin
583,"Good. T\nhe business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['admiration'],[0.49101555],,
584,can you call?,['curiosity' 'neutral'],[0.52416652 0.85536575],,
585,I am,['neutral'],[0.998743],,
586,Gimme a call!,['neutral'],[0.99882013],,
587,"hello, sorry i have not been by my phone. Whats up?",['curiosity' 'remorse'],[0.60057676 0.84827256],,
588,are you two timing me with my freind Kendall?,['curiosity' 'neutral'],[0.5628562  0.90797061],,
589,sure baby... 100 roses hhr 150 roses hr,['neutral'],[0.98768461],,
590,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
591,I party,['neutral'],[0.91520768],,
592,I am just trying to help you stay out of jail,['caring'],[0.97638083],,
593,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,
594,still interested?,['curiosity'],[0.98548359],,
595,yes,['approval' 'neutral'],[0.82732159 0.65905124],,
596,What can I do for you?,['curiosity'],[0.96363318],,
597,Let's have a conversation.,['neutral'],[0.99850607],,
598,still interested or no? i'm in high demand tonight,['confusion' 'curiosity'],[0.82961416 0.86457229],,
599,are you telling me that you call random girls that you don't know or havent seen? Did you know you were calling an escort ad?,['curiosity'],[0.99371642],,
600,estoy disponible,['neutral'],[0.99843258],,
601,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
602,you want to talk or you want to play around :),['neutral'],[0.99717796],,
603,hey :),['neutral'],[0.99247277],,
604,"Did you know that the majority of women in ads like this are doing it against their will and that many of them are minors. They are just young girls. \n(Even if you would never mess with a minor you 1) Can't verify their age or check their ID. 2) Even if the girl you're dealing with is an adult, chances are really good that she started\n when she was underage.) ",['realization' 'surprise'],[0.37485459 0.49521527],,
605,how about u?,['curiosity'],[0.98503649],,
606,what part of town?,['confusion' 'curiosity'],[0.36293232 0.90307444],,
607,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
608,"heyy there, what can I do 4 u???",['neutral'],[0.96940762],,
609,whatcha lookin 4,['neutral'],[0.99828714],,
610,i love surprises!!,['love'],[0.98932028],,
611,I appreciate the honesty.,['admiration'],[0.9962998],,
612,how do u like torelax,['curiosity'],[0.97390503],,
613,"hi Brian, I am with a bunch of guys, we are trying to get into contact with men responding to ads such as yourself.",['neutral'],[0.99876058],,
614,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?\n,['neutral'],[0.99679846],,
615,We're a bunch of guys working to reduce demand for girls and women being sold for sex against their will. May I text you information on where to get anonymous help?,['curiosity' 'neutral'],[0.95645642 0.35044068],,
616,"For you, but what about for the women involved?",['curiosity'],[0.98291171],,
617,Are you aware that buying sex is illegal?,['curiosity'],[0.97211748],,
618,u got roses:),['neutral'],[0.97108847],,
619,"sry, been bsy, u still there?",['curiosity'],[0.98916143],,
620,what u lookn 4,['neutral'],[0.99793786],,
621,"So am I correct that you responded to this add with the sole intention of ""saving"" someone? What organizations do you work with locally?",['curiosity'],[0.98889983],,
622,you good... i just need BUSINES,['admiration' 'desire'],[0.98344076 0.5268501 ],,
623,sleep inn by the airport,['neutral'],[0.99848807],,
624,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
625,If you're just looking for some conversation you know that's always free.,['approval'],[0.98557472],,
626,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
627,why are you looking here for friends?,['curiosity' 'neutral'],[0.84305227 0.55955696],,
628,hey  there catchin up after my shift still interested?,['curiosity'],[0.97980773],,
629,you coming?,['curiosity' 'neutral'],[0.52031273 0.78124887],,
630,??,['neutral'],[0.99258959],,
631,What did you have in mind. Surfing? ;-),['neutral'],[0.99867451],,
632,"Ill go ahead and type this out again for you. \n\n, Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\nAre you aware that many of the girls who get involved in prostitution are minors?",['neutral'],[0.99798286],,
633,nothing is free,['neutral'],[0.99893409],,
634,"I see you are committed to this act, so I won't try to argue.  Please just read the next text",['neutral'],[0.9791255],,
635,what u lookin for?,['curiosity'],[0.92727435],,
636,Just off Carson Rd now.,['neutral'],[0.99873883],,
637,hi,['neutral'],[0.99837238],,
638,depends on what 4,['neutral'],[0.99855691],,
639,Those things are hard earned.,['disappointment' 'sadness' 'neutral'],[0.51097429 0.31045255 0.49518457],,
640,sry I wuz away,['neutral'],[0.99854171],,
641,don't leave me hangin buddy this is one CRAZY story...,['sadness' 'neutral'],[0.51243812 0.74332362],,
642,"yeah, work can get that way",['neutral'],[0.9949975],,
643,in call or out?,['neutral'],[0.98263758],,
644,cool  thank you for your time ,['gratitude'],[0.99631506],,
645,Callme,['neutral'],[0.99853158],,
646,thanks!  ????????,['gratitude'],[0.99025017],,
647,May I text you information on where to get anonymous help? tell me where you're at,['curiosity'],[0.99397826],,
648,i love boats!,['love'],[0.99390841],,
649,Sean - You should sleep it off.,['caring' 'neutral'],[0.32316059 0.96670645],,
650,"If I sent you this thing that I think has been helpful at showing people what life is really like for me, would you look at it?",['curiosity'],[0.97175276],,
651,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
652,Wow. You met a girl through this and got married?,['curiosity' 'surprise'],[0.74042499 0.82705992],,
653,cum find out,['neutral'],[0.99876839],,
654,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,
655,Call me,['neutral'],[0.99868566],,
656,Hiyeeeeee! I am now...long day!,['excitement'],[0.66692841],,
657,What do you mean,['confusion'],[0.94891554],,
658,It was good talking to you. Thank you for your service and good evening.,['admiration' 'gratitude'],[0.79680902 0.99661142],,
659,Let the truth set you free,['neutral'],[0.99863905],,
660,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,
661,lol - Not a virus. And I'm a guy.,['amusement' 'neutral'],[0.9471755  0.31486067],,
662,how much time?,['curiosity'],[0.9589237],,
663,"OK, I'm marking you as uncooperative. If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you.",['caring'],[0.90939081],,
664,ooh! tell me more!!,['excitement'],[0.91809112],,
665,Please look at www.sasocal.org. Please see women as humans not objects for sale. You can do this. You are not alone.,['caring'],[0.98542386],,
666,you sure...i need the $,['approval' 'neutral'],[0.37399754 0.98088855],,
667,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
668,Are you aware that buying sex is illegal?,['curiosity'],[0.97211748],,
669,I know that guys like you can use help or you would not be doing this .,['optimism' 'neutral'],[0.54826927 0.93002605],,
670,what u lookin 4,['neutral'],[0.99782145],,
671,What are you looking for? We can do txt ,['curiosity'],[0.96574593],,
672,not too much. that is an hour or more. ,['neutral'],[0.99870038],,
673,what u lookn 4,['neutral'],[0.99793786],,
674,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
675,"Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['neutral'],[0.95926881],,
676,*you,['neutral'],[0.99431592],,
677,incall or outcall?,['confusion' 'neutral'],[0.36814889 0.94697112],,
678,what do you do for work?,['curiosity'],[0.98414212],,
679,well are you aware of that?,['curiosity'],[0.8833341],,
680,you st\nill with me? It's important that you stay on this thread. Your cooperation will be noted,['neutral'],[0.98856074],,
681,u there,['neutral'],[0.99878258],,
682,hi,['neutral'],[0.99837238],,
683,sure thing,['neutral'],[0.99867451],,
684,Do you see the same people consistently?,['curiosity' 'neutral'],[0.32626328 0.97138512],,
685,Su nÃºmero de telÃ©fono ha sido registrado y puede ser compartido con la policÃ­a. Â¿SabÃ­as que comprar sexo es ilegal?,['curiosity'],[0.99006957],,
686,Whats on the menu,['neutral'],[0.99840802],,
687,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
688,"It doesn't matter where you are, I think we could connect if that's what you're looking for.",['approval' 'neutral'],[0.96033603 0.45868823],,
689,No we work with them very close.  Are resources are better than police so we share with them,['neutral'],[0.99002284],,
690,just now saw text,['neutral'],[0.99828798],,
691,i see.  sounds pretty fun....,['admiration' 'amusement' 'joy'],[0.4993276  0.83430052 0.34496725],,
692,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
693,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,
694,yeah,['neutral'],[0.99417746],,
695,im on outcall. wat r u looking for??,['neutral'],[0.9863615],,
696,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
697,hello,['neutral'],[0.99821329],,
698,you?,['curiosity' 'neutral'],[0.3120988  0.86286175],,
699,sooo....are you looking for an outcall with just you?,['curiosity' 'neutral'],[0.50819945 0.95573646],,
700,again your cooperation is noted. do you understand?,['curiosity' 'neutral'],[0.3716158  0.96189207],,
701,hi baby,['neutral'],[0.9963302],,
702,hey big daddy ;0,['neutral'],[0.97527945],,
703,i can get there for sure. anything specific,['approval' 'neutral'],[0.97132528 0.46970779],,
704,Well that depends on what you're giving and exactly what you have in mind.  What do you want to do?,['neutral'],[0.99512047],,
705,Some as young as 14 1,['neutral'],[0.99873215],,
706,We have you recorded in our system as having called or texted for buying sex 14 different times. If you keep doing this you're not going to like what the end result is gonna be.,['disapproval'],[0.91074479],,
707,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,
708,what kind of massage r u lookin 4,['curiosity' 'neutral'],[0.90197921 0.38929868],,
709,that motel 6 is nice,['admiration'],[0.99237293],,
710,did you watch it???,['curiosity'],[0.98649979],,
711,"Seriously, not trying to taunt you. Just trying to keep you out of trouble before you get in to it. Have a great weekend buddy!",['caring'],[0.99497026],,
712,Ahh. HEre you go.,['neutral'],[0.92752022],,
713,still interested hun?,['curiosity'],[0.99448293],,
714,Hi there. I'm hanging in there. Hbu?,['neutral'],[0.99837554],,
715,own it and work through it,['approval' 'neutral'],[0.93684191 0.82309943],,
716,"Hey I'm not w/ the police, just with a bunch of guys who care about women getting trafficked and the guys buying them.  \nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?",['neutral'],[0.99727243],,
717,How old are you?,['neutral'],[0.99707663],,
718,that is a misconception. The pimp forces them to have sex with men and the Pimp then takes all the money.,['neutral'],[0.75995356],,
719,wrong number,['disapproval' 'neutral'],[0.86620533 0.79718369],,
720,"the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.33341745],,
721,u got roses,['neutral'],[0.99305516],,
722,"call me, let's talk about it",['neutral'],[0.9980551],,
723,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
724,above my little bit,['neutral'],[0.99861789],,
725,Like a drink and a chat.,['joy' 'neutral'],[0.323935   0.98598087],,
726,thats another 25 roses...where and when,['neutral'],[0.99585235],,
727,won't you give me a shout...  let's pick a place. I got a couple ideas,['approval' 'neutral'],[0.45847765 0.41451836],,
728,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
729,wow!! u really know what u want! I'm there. in or out call?,['curiosity' 'surprise'],[0.91650712 0.812747  ],,
730,still there?,['confusion' 'curiosity' 'neutral'],[0.3180401  0.40569499 0.36679465],,
731,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
732,whas up,['neutral'],[0.99538237],,
733,heyyy,['neutral'],[0.91218734],,
734,i understand.,['approval'],[0.9824478],,
735,oh vanilla,['neutral'],[0.93297637],,
736,u still there?,['confusion' 'curiosity'],[0.37223774 0.92898911],,
737,fine U/,['neutral'],[0.9971801],,
738,OK party hard it is?,['neutral'],[0.99109101],,
739,"hey there, what ru lookin for",['neutral'],[0.9979493],,
740,so u coming my way?,['curiosity'],[0.99199557],,
741,"sir, \nYour # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?",['neutral'],[0.98965257],,
742,?,['neutral'],[0.98066735],,
743,call me boo,['neutral'],[0.99880457],,
744,You don't want to be labeled as uncooperative on our report do you?,['confusion'],[0.97867113],,
745,hey,['neutral'],[0.99347407],,
746,"Dude\n, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.77261895],,
747,depends what you are offering,['neutral'],[0.99853754],,
748,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,
749,Long day at work I bet.   Just tryin to help you out.,['caring'],[0.67693162],,
750,Where'd you go honey?,['curiosity' 'neutral'],[0.93646908 0.30527261],,
751,"I'll pray for you; help stop the exploitation of each other, especially the children and women.",['caring'],[0.99458003],,
752,Is it safe to say you aren't satisfied in your marriage?,['curiosity' 'neutral'],[0.75536382 0.30340359],,
753,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
754,Haha...All of the Above!,['amusement'],[0.98122978],,
755,Either is good,['neutral'],[0.99819428],,
756,"Nice try. The business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['admiration'],[0.96503717],,
757,Su # ahora se registra tratando de comprar sexo en lÃ­nea y estÃ¡ disponible para el seguimiento de la policÃ­a. Se han hecho arrestos. Se seÃ±alarÃ¡ la cooperaciÃ³n. \n\nÂ¿sabe que muchas de las niÃ±as que se involucran en la prostituciÃ³n son menores?,['curiosity' 'neutral'],[0.94454491 0.37464142],,
758,hello to you!   how can I help you?,['neutral'],[0.98942226],,
759,What time and what lookin for?,['curiosity'],[0.97611463],,
760,HI!,['neutral'],[0.95836008],,
761,sounds mutual.  lets do this,['neutral'],[0.9862715],,
762,"Hello are you still there?Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['neutral'],[0.6144889],,
763,"shit, yeah i know you dont need a lesson.  are there people you can talk to? i know friends sometimes leave when they have to choose either you or your wife.",['curiosity'],[0.88758534],,
764,dont lie man you texted asking Stacey if she was available for an outcall.,['neutral'],[0.99802005],,
765,Are you aware that many of the girls who get involved in prostitution are minors?,['curiosity'],[0.98808587],,
766,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
767,yeah that works,['neutral'],[0.9937411],,
768,Depends on what you are looking for?,['approval' 'neutral'],[0.33835936 0.93636137],,
769,Can we talk about why you are looking for love in these ads?,['curiosity'],[0.93475455],,
770,wht u want for that hundo?,['curiosity'],[0.98887932],,
771,u still there?,['confusion' 'curiosity'],[0.37223774 0.92898911],,
772,"Hey, I'm not who you wanted to text. Iâ€™m working with a bunch of guys who are trying to interrupt demand for victims of trafficking and Iâ€™m wondering if you would be willing to help us out.",['surprise'],[0.92898715],,
773,in or out call,['neutral'],[0.99844557],,
774,"And this isn't Eva, by the way.",['neutral'],[0.99823415],,
775,You still with me?,['curiosity' 'neutral'],[0.51574457 0.61666441],,
776,Can be where u located,['neutral'],[0.99888831],,
777,u lookng for Taylor?,['curiosity' 'neutral'],[0.94397116 0.43387747],,
778,"don't understand, what do you mean?",['confusion'],[0.98635161],,
779,"Hey, how's it go'in",['curiosity' 'neutral'],[0.54998803 0.34534228],,
780,My goal wasn't to make you feel guilty. But my goal was to stop you from purchasing a woman tonight. So I'm glad I succeeded in that. But this will just happen again unless you're willing to address the problem,['approval' 'realization' 'relief'],[0.32157412 0.80279267 0.45032853],,
781,Some as young as 14!,['neutral'],[0.99863845],,
782,And dangerous for you as well as the girls.,['fear'],[0.93265915],,
783,u down?,['curiosity' 'neutral'],[0.72376704 0.85969359],,
784,"Sorry Hun, was in the shower.",['remorse'],[0.92618579],,
785,i do too,['approval' 'neutral'],[0.50708902 0.98266059],,
786,no need to apologize. we're just trying to help guys who aren't aware of the reality. ,['caring'],[0.96116996],,
787,hi,['neutral'],[0.99837238],,
788,against their will,['neutral'],[0.99346453],,
789, ??,['neutral'],[0.99258959],,
790,how are you?,['curiosity' 'neutral'],[0.67761606 0.52826351],,
791,I'm staying down by the stockyards.,['neutral'],[0.99884939],,
792,You've Called before,['neutral'],[0.99776781],,
793,"sure babe, call me an lets figure it out",['neutral'],[0.94026428],,
794,whatcha wanna do,['neutral'],[0.99717367],,
795,Are you aware that prostitution is illegal?,['curiosity'],[0.96631604],,
796,hey,['neutral'],[0.99347407],,
797,Is it because youre lonely?,['curiosity' 'sadness'],[0.91843987 0.53608525],,
798,did you just call? I think you hung up,['confusion'],[0.90695888],,
799,"The girls in this biz are actually only faking this to get paid, so they can pay off the pimp who forces them into this. Its not a good deal.",['disapproval' 'neutral'],[0.91399044 0.46214977],,
800,"Yupp, just a lyft away  ",['neutral'],[0.99861252],,
801,Please look at www.sa.org/f2f/united-states-of-america/kansas/. Please see women as humans not objects for sale. You can do this.,['approval' 'neutral'],[0.34631065 0.98932844],,
802,Whaaaaa?!,['surprise' 'neutral'],[0.66753799 0.44606617],,
803,oh ya,['neutral'],[0.48366916],,
804,cool what kinda fun,['curiosity'],[0.98396271],,
805,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
806,why not I like to be clear,['neutral'],[0.76552534],,
807,what u like your babe's to call you?,['curiosity'],[0.96902251],,
808,Depends on what you want.  ,['approval' 'neutral'],[0.90812761 0.89207447],,
809,"hey there! thanks for reaching out :) give me a call, we can talk about the details :)",['gratitude'],[0.99368978],,
810,well...,['neutral'],[0.95872909],,
811,were you aware of that sir?,['curiosity' 'realization'],[0.61131275 0.60743845],,
812,"the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.33341745],,
813,And yeah!,['neutral'],[0.99372745],,
814,Are you still there man? ,['curiosity'],[0.97446513],,
815,Hey there what's your name?,['curiosity'],[0.9942472],,
816,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,
817,Wed?  u up 4 fun now,['neutral'],[0.92421621],,
818,Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99304354],,
819,call me,['neutral'],[0.998519],,
820,What do you want to do at the QV?,['neutral'],[0.9840275],,
821,"just asking, does hearing that change your perspective on these ads or are you just going to roll on to the next one?",['curiosity'],[0.96676499],,
822,"Hello big boy, what are u interested in?",['neutral'],[0.98310328],,
823,why\n you hang up?,['confusion' 'neutral'],[0.81011111 0.61446714],,
824,wanna chat?,['neutral'],[0.98810565],,
825,I am now..u still around?,['curiosity' 'neutral'],[0.48125756 0.94544762],,
826,I want to hear about you first.,['neutral'],[0.99511141],,
827,you tell me!,['neutral'],[0.99807942],,
828,make an offer and I will consider,['approval' 'neutral'],[0.91146767 0.87378347],,
829,thats not how i roll,['disapproval' 'neutral'],[0.93849844 0.76218873],,
830,heeeeey :),['excitement' 'joy'],[0.5864321  0.77126408],,
831,this won't be what you expected ..but want to help you ...,['caring' 'disapproval'],[0.95152736 0.39881092],,
832,"Yes, the average age of starting prostitution is 13",['approval' 'neutral'],[0.48076853 0.96338916],,
833,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
834,depends...u got roses?,['curiosity' 'neutral'],[0.72811335 0.79726303],,
835,My place or yours?,['curiosity'],[0.76302749],,
836,Is this your first time?,['curiosity' 'neutral'],[0.82653129 0.65196234],,
837,hey,['neutral'],[0.99347407],,
838,hey there catchin up u still lookin\n\n\n,['neutral'],[0.99860114],,
839,"thanks, give me a call",['gratitude'],[0.99653119],,
840,call again,['neutral'],[0.99724305],,
841,"If you are prosecuted you face expensive fines. If the girl is a minor, the penalties increase dramatically and can ruin your life. You may also have to register as a Sex Offender. These penalties are for first time offenders. If you respond to one of these ads again, these things could happen to you. \n\nDo you understand sir?",['caring' 'neutral'],[0.44186959 0.6613884 ],,
842,embarrassed of what?,['curiosity' 'embarrassment' 'neutral'],[0.7422564  0.62824064 0.48400232],,
843,how quick ;),['neutral'],[0.98095542],,
844,What kind of insurance?,['curiosity' 'neutral'],[0.84793806 0.33740035],,
845,yes. my speshalty,['neutral'],[0.68931276],,
846,was her name Angelica?,['curiosity'],[0.9857772],,
847,"any services in mind? gfe\n, full service, etc?",['curiosity'],[0.96136034],,
848,"Conan, are you still there?",['curiosity' 'neutral'],[0.54242897 0.93801773],,
849,oh yes! gimme a call and we can discuss further :),['approval'],[0.97429943],,
850,whatcha up to tonite?,['curiosity'],[0.98999363],,
851,hey!,['neutral'],[0.98540235],,
852,Your # was previously recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['neutral'],[0.99078172],,
853,depens,['neutral'],[0.99891686],,
854,"the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\n\n",['anger' 'neutral'],[0.59809726 0.42720389],,
855,u need another hh!,['neutral'],[0.99840838],,
856,Hey Chaz...Your # is now recorded attempting to buy sex online and is available for police follow up. Arrests have been made. Cooperation will be noted.\n\nAre you aware that many of the girls who get involved in prostitution are minors?,['curiosity' 'neutral'],[0.31360981 0.98305434],,
857,"Ahh, that is up to you.",['approval' 'neutral'],[0.823856   0.80728364],,
858,I understand,['realization'],[0.95779586],,
859,hey,['neutral'],[0.99347407],,
860,Can you tell me what you're looking for?,['curiosity'],[0.96238172],,
861,Could be within the hour?,['neutral'],[0.99543214],,
862,ok.. then please read carefully,['caring' 'neutral'],[0.89007896 0.73573142],,
863,wht were u thinkin,['neutral'],[0.99484962],,
864,hey there ;),['neutral'],[0.99736136],,
865,Hey! ,['neutral'],[0.99231017],,
866,dunno. u said roses.,['neutral'],[0.99874902],,
867,Have you paid for sex before?,['neutral'],[0.9757058],,
868,Hey hey hey.... I'm available now... Are you?,['neutral'],[0.97772241],,
869,"Hot and bothered, how are you?",['curiosity'],[0.94546711],,
870,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
871,No appointment without reference or ID,['neutral'],[0.99880219],,
872,im down,['neutral'],[0.99808037],,
873,is a risky business.... ,['disapproval'],[0.9184081],,
874,Are you aware that many of the girls who get involved in prostitution are minors?,['curiosity'],[0.98808587],,
875,But you don't need to pay. Go to a bar and ask to hangout with someone,['neutral'],[0.99888343],,
876,May I text you information on where to get anonymous help?,['curiosity'],[0.97406209],,
877,give me a call,['neutral'],[0.99792153],,
878,its beena good day,['gratitude' 'joy'],[0.83287549 0.35453406],,
879,"good, what you lookin for",['admiration' 'approval'],[0.86358643 0.36591458],,
880,"Yeah, the business is set up to fool men into believing theyâ€™re doing something harmless, but itâ€™s enslaving women. These girls are forced to sell themselves by pimps who take 100% of the money and control them with force, fraud, coercion and things like drugs and fear.\n\nAre you aware that buying sex is illegal?",['anger'],[0.7041989],,
881,gracias amigo,['neutral'],[0.99786949],,
882,"Nope, Still not trapping.",['disapproval' 'neutral'],[0.97479558 0.47744682],,
883,whut r u lookin 4?,['curiosity'],[0.96375704],,
884,May I text you information on where to get anonymous help?,['curiosity'],[0.97406209],,
885,"hey there! I'm close to downtown, what about you?",['curiosity'],[0.97487801],,
